epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1068.75,1.08436,3.02368,1.26879,0.0039,0.80754,0.04153,0.0198,1.19919,3.76335,1.66849,0.000332694,0.000332694,0.0670633
2,1424.95,0.88835,2.88543,1.08689,0.25447,0.07926,0.10692,0.06442,0.94252,3.59288,1.29007,0.00065284,0.00065284,0.0340502
3,1749.91,0.79828,2.76251,1.00723,0.40086,0.03261,0.20586,0.14562,0.84072,3.34578,1.20824,0.000959786,0.000959786,0.00102377
4,2135.62,0.77637,2.68054,0.99777,0.49605,0.20876,0.31776,0.22627,0.85276,2.9177,1.17958,0.0009406,0.0009406,0.0009406
5,2561.58,0.69843,2.42882,0.91926,0.37384,0.25384,0.31997,0.24387,0.93384,2.62582,1.18672,0.0009208,0.0009208,0.0009208
6,2989.83,0.74452,2.19638,0.97834,0.39468,0.29891,0.36042,0.27363,0.86177,2.22019,1.14151,0.000901,0.000901,0.000901
7,3373.57,0.68258,1.93305,0.91658,0.41587,0.34079,0.38748,0.31696,0.77238,2.31091,1.13475,0.0008812,0.0008812,0.0008812
8,3758.85,0.67834,1.8071,0.90803,0.40759,0.31164,0.37414,0.30891,0.78899,3.18117,1.15755,0.0008614,0.0008614,0.0008614
9,4191.08,0.6659,1.73031,0.90562,0.38449,0.32609,0.37431,0.31009,0.7406,3.91954,1.09216,0.0008416,0.0008416,0.0008416
10,4660.07,0.59487,1.68009,0.82326,0.31762,0.35006,0.36592,0.2711,0.84441,4.6134,1.14303,0.0008218,0.0008218,0.0008218
11,5158.51,0.60005,1.57979,0.84519,0.26703,0.40121,0.3562,0.26138,0.89956,4.89918,1.18256,0.000802,0.000802,0.000802
12,5610.73,0.57734,1.54446,0.82101,0.24846,0.46547,0.34276,0.25634,0.87915,6.8036,1.19163,0.0007822,0.0007822,0.0007822
13,6030.49,0.56513,1.47296,0.82556,0.32266,0.50416,0.37198,0.29735,0.741,8.16954,1.13857,0.0007624,0.0007624,0.0007624
14,6446.84,0.56936,1.48356,0.81143,0.30702,0.539,0.39609,0.32016,0.68762,6.61105,1.04724,0.0007426,0.0007426,0.0007426
15,6876.36,0.52091,1.36414,0.78658,0.32241,0.53517,0.41087,0.32673,0.72637,6.83109,1.09937,0.0007228,0.0007228,0.0007228
16,7306.57,0.54291,1.34591,0.78969,0.36652,0.54444,0.42922,0.34409,0.71011,6.40819,1.10118,0.000703,0.000703,0.000703
17,7753.3,0.53639,1.31007,0.7932,0.41425,0.63811,0.44995,0.3553,0.68116,9.74993,1.06352,0.0006832,0.0006832,0.0006832
18,8171.49,0.53736,1.31055,0.81862,0.33639,0.65278,0.4373,0.33508,0.70413,14.0656,1.0772,0.0006634,0.0006634,0.0006634
19,8499.75,0.5161,1.26787,0.78627,0.36013,0.74505,0.46583,0.37077,0.65969,14.0938,1.03943,0.0006436,0.0006436,0.0006436
20,8821.34,0.5196,1.22863,0.78495,0.44334,0.70169,0.49532,0.38651,0.66305,9.57992,1.06063,0.0006238,0.0006238,0.0006238
21,9136.41,0.47815,1.15229,0.75487,0.34685,0.69853,0.46007,0.3514,0.71143,11.0172,1.07629,0.000604,0.000604,0.000604
22,9381.8,0.49171,1.16755,0.76035,0.42344,0.69693,0.48511,0.3776,0.70612,9.40462,1.06452,0.0005842,0.0005842,0.0005842
23,9629.21,0.51006,1.1643,0.76975,0.34448,0.71873,0.45878,0.35852,0.69735,11.6923,1.06936,0.0005644,0.0005644,0.0005644
24,9880.47,0.49552,1.11578,0.78714,0.42591,0.69693,0.51093,0.4031,0.65734,9.66109,1.05077,0.0005446,0.0005446,0.0005446
25,10131.4,0.4762,1.11641,0.75681,0.45416,0.73561,0.57715,0.41732,0.72752,8.84047,1.09906,0.0005248,0.0005248,0.0005248
26,10384.6,0.47338,1.09959,0.75067,0.86667,0.34655,0.59909,0.44413,0.68327,13.6123,1.08186,0.000505,0.000505,0.000505
27,10635.5,0.48827,1.09609,0.75753,0.38246,0.77973,0.58033,0.42003,0.67584,17.1772,1.08754,0.0004852,0.0004852,0.0004852
28,10890.1,0.45577,1.04195,0.72061,0.45253,0.74488,0.61734,0.45156,0.65496,13.8739,1.06523,0.0004654,0.0004654,0.0004654
29,11137.6,0.46605,1.03728,0.75534,0.43498,0.7743,0.65379,0.48728,0.61205,10.8712,1.02944,0.0004456,0.0004456,0.0004456
30,11379.7,0.48256,1.03643,0.76857,0.86667,0.43958,0.63123,0.49893,0.66864,11.3023,1.05833,0.0004258,0.0004258,0.0004258
31,11624,0.45187,1.02196,0.72936,0.92394,0.37276,0.69026,0.51195,0.64469,9.95688,1.05079,0.000406,0.000406,0.000406
32,11866.2,0.42557,0.98799,0.71104,0.83611,0.3977,0.6381,0.4826,0.65806,10.9508,1.04664,0.0003862,0.0003862,0.0003862
33,12123.9,0.46645,0.97761,0.74947,0.81622,0.53165,0.66002,0.50883,0.63253,14.8914,1.04167,0.0003664,0.0003664,0.0003664
34,12378.7,0.40088,0.98509,0.71321,0.89583,0.52941,0.7027,0.55236,0.59876,12.1481,1.01453,0.0003466,0.0003466,0.0003466
35,12636.8,0.41739,0.9421,0.7332,0.91667,0.4952,0.72125,0.53966,0.6194,11.1774,1.01869,0.0003268,0.0003268,0.0003268
36,12894.4,0.40826,0.93178,0.70886,0.5258,0.80147,0.69443,0.543,0.62019,9.40715,1.02438,0.000307,0.000307,0.000307
37,13148.7,0.42137,0.92465,0.71412,0.91304,0.46963,0.70598,0.53308,0.61288,9.02845,1.02024,0.0002872,0.0002872,0.0002872
